Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Strength,W/C,Sp/C_pct
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28,37.27,0.8741653826399589,0.038520801232665644
140.0,133.0,103.0,200.0,7.0,916.0,753.0,28,36.44,1.4285714285714286,0.05
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75,0.6721854304635762,0.0
300.0,0.0,120.0,212.0,10.0,878.0,728.0,28,23.84,0.7066666666666667,0.03333333333333333
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48,1.062612883804937,0.027092113184828417
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73,0.7506471095772217,0.028904227782571183
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13,0.5501432664756447,0.0
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56,43.5,0.9351648351648351,0.045054945054945054
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3,0.3812631578947368,0.01873684210526316
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,0.96,0.0
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38,1.2229299363057324,0.0
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55,0.7496470588235294,0.04094117647058823
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,0.3611764705882353,0.03882352941176471
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34,0.8044444444444444,0.0
321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21,0.5919003115264797,0.01557632398753894
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.69,0.7795969773299748,0.0
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28,55.94,0.36,0.0
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84,0.7506471095772217,0.028904227782571183
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.37,0.313953488372093,0.015891472868217054
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7,39.0,0.419811320754717,0.020047169811320754
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59,0.7841243175136497,0.029399412011759767
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,1.3753581661891119,0.0
116.0,173.0,0.0,192.0,0.0,909.8,891.9,7,10.09,1.6551724137931034,0.0
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23,1.1633986928104576,0.05228758169934641
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47,0.8500707213578501,0.026874115983026876
331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24,0.5800604229607251,0.0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86,0.7529411764705882,0.0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4,0.26689252776209305,0.05307735742518351
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,0.4883939774153073,0.044855708908406525
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99,0.8177966101694916,0.0
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5,0.3668491786958686,0.028372324539571926
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,0.725,0.03392857142857143
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87,1.3333333333333333,0.05555555555555555
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,0.505413901501921,0.03911980440097799
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91,0.5800604229607251,0.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,0.6,0.0
154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.79,1.2487080103359174,0.058785529715762265
173.0,116.0,0.0,192.0,0.0,946.8,856.8,90,32.1,1.1098265895953756,0.0
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28,24.5,0.6654545454545454,0.0
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43,0.576124031007752,0.02635658914728682
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82,0.9913693901035673,0.05581127733026466
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,0.4547710976282405,0.031991174848317705
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5,0.75,0.03679245283018868
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.32,1.2549019607843137,0.0
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.28,0.5015015015015015,0.05375375375375375
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77,0.7354455445544554,0.0
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.94,0.46851385390428213,0.0
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0,0.9599056603773585,0.0
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,0.3376,0.0624
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14,1.2361111111111112,0.04861111111111111
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,0.6857142857142857,0.0
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72,0.7460862924780451,0.019091256204658267
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,28,27.83,0.6193548387096774,0.0
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94,1.0483870967741935,0.04659498207885304
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56,60.32,0.5806320907617504,0.0486223662884927
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.44,0.5874723188864283,0.0
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28,74.99,0.2796934865900383,0.0
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84,0.8498596819457436,0.0313376987839102
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,0.96,0.0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3,23.35,0.3632286995515695,0.02600896860986547
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,17.44,0.5800604229607251,0.0
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,0.4548128342245989,0.027005347593582887
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3,15.52,0.9820359281437125,0.04730538922155689
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78,0.42896935933147634,0.030362116991643456
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.58,1.2885906040268456,0.053691275167785234
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41,0.96,0.0
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28,51.02,0.33653846153846156,0.01
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66,0.7498011137629276,0.02545743834526651
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5,0.3668491786958686,0.028372324539571926
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,0.9372409709887508,0.06394316163410302
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28,18.75,0.7529411764705882,0.0
366.0,187.0,0.0,191.3,6.6,824.3,756.9,28,65.91,0.5226775956284153,0.0180327868852459
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7,23.52,0.6666666666666666,0.0
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61,0.8500707213578501,0.026874115983026876
350.0,0.0,0.0,203.0,0.0,974.0,775.0,28,27.34,0.58,0.0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1,0.5176087599881622,0.02811482687185558
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,52.61,0.32037037037037036,0.0
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,0.9372409709887508,0.06394316163410302
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28,0.5314285714285715,0.0
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59,1.443609022556391,0.0
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120,39.38,0.5800604229607251,0.0
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28,33.76,1.1049382716049383,0.11728395061728394
336.0,0.0,0.0,182.0,3.0,986.0,817.0,28,44.86,0.5416666666666666,0.008928571428571428
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6,0.5601659751037344,0.02744972869454197
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7,15.07,1.0198019801980198,0.008415841584158416
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28,57.92,0.4093686354378819,0.007942973523421588
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,0.3611764705882353,0.03882352941176471
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28,53.58,0.5719298245614035,0.026666666666666665
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69,0.9095127610208817,0.023781902552204172
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,0.4883939774153073,0.044855708908406525
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.35,1.105263157894737,0.11842105263157894
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08,0.85,0.019999999999999997
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,3,12.55,0.8754598003152916,0.05202312138728324
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28,25.97,0.6895306859205776,0.0
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91,0.7795969773299748,0.0
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,0.5501432664756447,0.0
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37,1.0208905992303463,0.0
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90,69.66,0.32037037037037036,0.0
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29,1.2487080103359174,0.058785529715762265
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,0.505413901501921,0.03911980440097799
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54,1.062612883804937,0.027092113184828417
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.31,1.268414481897628,0.07053682896379526
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7,17.2,0.9596899224806201,0.0
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33,0.7496,0.022
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84,0.302,0.018
249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68,0.6346848655158571,0.051384985949417906
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3,0.42369020501138954,0.025284738041002276
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36,0.6346848655158571,0.051384985949417906
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,0.48,0.0
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28,46.68,0.40568475452196384,0.029974160206718347
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97,0.5765765765765766,0.0
154.8,0.0,142.8,193.3,9.1,877.2,867.7,28,9.74,1.2487080103359174,0.058785529715762265
288.4,121.0,0.0,177.4,7.0,907.9,829.5,28,42.14,0.615117891816921,0.024271844660194178
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83,0.5798652397938961,0.05628220372572334
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,0.579979709164694,0.030098072370645927
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42,0.6691729323308271,0.03759398496240601
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68,0.5765765765765766,0.0
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28,30.57,0.5661538461538461,0.0
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73,1.0106741573033708,0.020224719101123598
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.72,0.58,0.0
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69,0.7341269841269841,0.0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,35.75,0.42896935933147634,0.030362116991643456
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02,1.0612121212121213,0.04909090909090909
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9,0.40568475452196384,0.03591731266149871
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8,0.6529759832927253,0.032022276366167765
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,0.6,0.0
284.0,120.0,0.0,168.0,7.0,970.0,794.0,28,40.93,0.5915492957746479,0.02464788732394366
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2,0.94985590778098,0.037463976945244955
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7,0.419811320754717,0.020047169811320754
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1,0.5695554844899264,0.025583626479053406
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,0.6,0.0
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8,0.36,0.0
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42,0.6682945154019535,0.03906836964688205
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92,0.4831168831168831,0.0
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28,65.91,0.5218579234972678,0.01912568306010929
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,24.0,0.48429319371727747,0.0
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28,25.22,0.627789046653144,0.0
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45,0.5797258297258298,0.0404040404040404
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35,0.8498040922942969,0.026556377884196777
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,47.4,0.588156123822342,0.0319650067294751
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93,0.48,0.0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,0.6857142857142857,0.0
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,0.85,0.019999999999999997
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54,0.85,0.019999999999999997
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89,1.1077844311377245,0.041916167664670656
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,0.725,0.03392857142857143
159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88,1.2641509433962264,0.0440251572327044
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.94,0.4,0.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,0.48,0.0
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87,0.636,0.038
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09,0.4548128342245989,0.027005347593582887
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08,0.75,0.03679245283018868
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.23,0.5700636942675159,0.025477707006369428
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54,0.5661538461538461,0.0
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23,0.29894736842105263,0.004
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,0.8502573701450632,0.03228825456247076
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06,0.94985590778098,0.037463976945244955
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02,0.7240577012563982,0.044671940437412745
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,0.6666666666666666,0.0
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72,1.0612121212121213,0.04909090909090909
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7,0.3668491786958686,0.028372324539571926
310.0,143.0,0.0,168.0,10.0,914.0,804.0,28,45.3,0.5419354838709678,0.03225806451612903
158.0,0.0,195.0,220.0,11.0,898.0,713.0,28,8.54,1.3924050632911393,0.06962025316455696
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100,45.37,0.9349503858875413,0.04189636163175303
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,0.48,0.0
153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28,25.56,1.1633986928104576,0.05228758169934641
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97,0.7498011137629276,0.023070803500397773
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56,35.57,0.9349503858875413,0.04189636163175303
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14,21.26,0.6895306859205776,0.0
397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28,39.09,0.4659949622166247,0.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.48,0.0
140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.23,1.6928571428571428,0.04285714285714286
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28,32.25,0.7289068231841525,0.038884812912692586
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,0.4883939774153073,0.044855708908406525
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.42,0.7750417362270451,0.0
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,13.29,1.3377876763177432,0.07423904974016333
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26,0.5800604229607251,0.0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1,0.5176087599881622,0.02811482687185558
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72,0.5501432664756447,0.0
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7,42.42,0.36,0.0
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24,0.5890909090909091,0.03781818181818182
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7,9.62,1.1693954659949621,0.0
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100,43.06,0.5707446808510638,0.0
160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28,39.45,1.05,0.075
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59,1.0106741573033708,0.020224719101123598
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8,0.5601659751037344,0.02744972869454197
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.3611764705882353,0.03882352941176471
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36,0.6895306859205776,0.0
305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6,0.6665574844415328,0.0
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28,21.07,1.1693954659949621,0.0
313.0,0.0,0.0,178.0,8.0,1000.0,822.0,28,25.1,0.5686900958466453,0.025559105431309903
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53,0.58,0.0
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98,0.7673031026252983,0.023070803500397773
166.0,259.7,0.0,183.2,12.7,858.8,826.8,28,37.92,1.1036144578313252,0.07650602409638554
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45,0.46775818639798483,0.0
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94,0.4,0.0
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,0.7498011137629276,0.02545743834526651
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,0.3611764705882353,0.03882352941176471
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,36.3,0.5707446808510638,0.0
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87,0.7046979865771812,0.03691275167785235
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,39.66,1.4401981599433828,0.0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9,0.293816631130064,0.06865671641791045
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,0.4547710976282405,0.031991174848317705
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,0.725,0.03392857142857143
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,40.15,0.7673031026252983,0.023070803500397773
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02,1.6551724137931034,0.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,0.4547710976282405,0.031991174848317705
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.28,0.4,0.0
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93,1.1576086956521738,0.03260869565217391
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28,17.28,1.8823529411764706,0.0
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56,56.85,0.5797891675754271,0.03598691384950927
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64,0.7496470588235294,0.04094117647058823
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35,0.75,0.03679245283018868
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62,0.32037037037037036,0.0
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14,0.4675,0.0
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03,0.4084507042253521,0.03690140845070423
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31,1.3553030303030305,0.041666666666666664
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55,0.4103896103896104,0.05194805194805195
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14,24.66,0.7672,0.0212
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86,1.3071895424836601,0.0392156862745098
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3,17.37,0.7241217798594848,0.05480093676814988
289.0,133.7,0.0,194.9,5.5,924.1,760.1,28,46.25,0.6743944636678201,0.01903114186851211
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3,0.8076923076923077,0.025213675213675214
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14,38.77,0.5797891675754271,0.03598691384950927
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,0.6666666666666666,0.0
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1,0.40553359683794465,0.04189723320158103
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44,0.6619217081850534,0.0
252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7,13.71,0.7341269841269841,0.0
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,43.38,0.6665574844415328,0.0
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28,33.05,1.2738853503184713,0.05732484076433121
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,0.5333333333333333,0.0
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28,28.63,1.0422119037568593,0.02532714225411566
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02,0.58022239872915,0.04924543288324067
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28,32.04,0.5811209439528023,0.0
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7,40.29,0.39622641509433965,0.02099056603773585
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90,43.57,1.2200239808153477,0.0
350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13,0.58,0.0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7,0.40633041688111166,0.03113741636644364
